kabupaten_kota;gabah_kering_panen;gabah_kering_giling;beras_medium;beras_premium;hama_tikus;wereng_batang_coklat;penggerek_batang_padi;hama_kresek;hama_tungro;hama_blas;dampak_kekeringan;dampak_banjir;periode_update
Kota Mojokerto;0;0;0;0;0;0;0;0.35;0;0;0;0;Agustus 2020
Kota Madiun;4,67;5,3;8,5;9,7;0;0;0;0;0;0;0;0;Agustus 2020
Kota Surabaya;0;0;0;0;0;3;0;2.25;0;0;0;0;Agustus 2020
Kota Batu;5;6,5;10;12;3;0;0;0;0;0;0;0;Agustus 2020
Pacitan;4,3;5,4;8,5;11;0;2;0;0;0;5;0;0;Sep-20
Ponorogo;4,6;5,5;8,488;10,5;0;1.35;7.8;0;0;0;0;0;Sep-20
Trenggalek;4,438;5,311;8,3;8,775;0.08;5;0;8;0;1;56;0;Sep-20
Tulungagung;4,566;5,484;8,645;9,729;22.35;9.64;30.8;10.63;0;7.35;668;0;Sep-20
Blitar;4,525;5,474;8,423;9,23;3.83;3;0.1;0.42;0;5.12;0;0;Sep-20
Kediri;4,848;5,685;9,013;10,263;5.31;0.14;3.1;3.9;0;0;0;0;Sep-20
Malang;4,8;5,7;9,355;10,4;23.15;10.2;46.5;25.55;0;2.8;0;0;Sep-20
Lumajang;4,747;5,747;9,379;10,547;18.8;5.6;27.95;31.95;0;0;0;315;Sep-20
Jember;4,675;5,616;9,217;10,366;1;1.7;15.15;18.95;0;16;0;0;Sep-20
Banyuwangi;4,693;5,578;9,24;10;2;38.5;25.75;13.25;4.25;3.25;0;0;Sep-20
Bondowoso;4,708;5,708;9,425;11,125;9.6;0.25;37.75;15.15;9.6;7.15;0;0;Sep-20
Situbondo;4,87;5,9;9,465;10,5;2;2;10.6;11.9;1.7;0;0;0;Sep-20
Probolinggo;4,397;5,521;9,197;14,104;4.6;0;4.5;6.35;0;0.7;0;0;Sep-20
Pasuruan;4,586;5,285;9,39;9,83;1.8;3.55;0.89;0.3;0.5;0.25;0;0;Sep-20
Sidoarjo;4,781;5,465;8,917;10,917;77;1.62;10;13.5;0;0;12.5;0;Sep-20
Mojokerto;4,622;5,478;9,053;10;4.44;5.81;2.7;4.84;0.5;1.25;0;0;Sep-20
Jombang;4,521;5,504;8,538;10,5;41.9;3.2;4.87;2;0;0;0;0;Sep-20
Nganjuk;4,781;5,594;8,813;10,5;13.95;0;0;5.5;0;0.5;0;0;Sep-20
Madiun;4,771;5,325;8,8;9,5;28;0;8.25;5.86;0;3.35;0;0;Sep-20
Magetan;4,4;5,6;8,5;8,5;2;0;0;0;0;0.14;1;0;Sep-20
Ngawi;4,7;5,3;8,8;9,5;60.18;16.3;8.2;12.25;0;0;0;0;Sep-20
Bojonegoro;5;5,6;9;10;42.5;2.1;33;4.25;0;13;109;0;Sep-20
Tuban;4,82;5,651;8,809;10,5;10.2;825.1;1.6;1;0;1;0;0;Sep-20
Lamongan;4,825;5,6;8,469;10;17;161.3;25.2;24;0;14.2;0;0;Sep-20
Gresik;5,003;5,663;9,2;9,9;19.85;43.4;4.3;3.25;0;3.7;10;0;Sep-20
Bangkalan;4,405;5,403;8,656;10,75;6.3;0;13.5;10.5;0;2;0;0;Sep-20
Sampang;0;5,483;8,518;0;0;0;0;0;0;0;0;0;Sep-20
Pamekasan;0;5,313;8,719;10,313;3;0;0;0.3;0;0;0;0;Sep-20
Sumenep;0;0;8,5;0;0;0;0;7.3;0;0;0;0;Sep-20
Kota Kediri;0;0;0;0;0.14;0;0;0;0;0;0;0;Sep-20
Kota Blitar;0;0;0;0;0;0;0;0;0;0;0;0;Sep-20
Kota Malang;5,042;6,012;9,991;11,963;1;0;2.25;9;0;0;0;0;Sep-20
Kota Probolinggo;0;0;0;0;0.9;0;0.25;0;0;0;0;0;Sep-20
Kota Pasuruan;0;0;0;0;0;0;0;0;0;0;0;0;Sep-20
Kota Mojokerto;0;0;0;0;0;0;0;0.5;0;0;0;0;Sep-20
Kota Madiun;4,7;5,3;8,5;9,7;0;0;0;0;0;0;0;0;Sep-20
Kota Surabaya;0;0;0;0;0;0;0.3;6.5;0;0;0;0;Sep-20
Kota Batu;5;6,5;10;12;0;0;0;4.5;0;0;0;0;Sep-20
Pacitan;4,3;5,425;8,5;11;0;0;0;0.2;0;9;0;0;Oktober 2020
Ponorogo;4,6;5,435;8,5;10,5;2.4;0;5.42;5;0;0;0;0;Oktober 2020
Trenggalek;4,525;5,4;8,3;8,7;0.15;0;0;5.75;0;0.52;0;71;Oktober 2020
Tulungagung;4,648;5,495;8,641;9,644;6.53;0;6.55;7.65;0;2.6;0;0;Oktober 2020
Blitar;4,58;5,61;8,53;9,304;0.56;0.14;0.34;0.14;0;0;0;0;Oktober 2020
Kediri;5;5,75;9,131;10,75;1.2;0.35;1.77;1.85;0;0.3;0;0;Oktober 2020
Malang;4,9;5,75;9,45;10,4;10.05;0;18.05;22.9;0;1.7;0;0;Oktober 2020
Lumajang;4,967;5,917;9,575;10,956;2.5;2.45;53.4;18.6;0.75;0.85;0;0;Oktober 2020
Jember;4,795;5,7;9,183;10,483;3.55;0.8;7.1;10.3;0;16.45;0;0;Oktober 2020
Banyuwangi;4,804;5,693;9,328;10;0.5;52.45;37.7;10.25;0.5;0.75;0;0;Oktober 2020
Bondowoso;4,8;5,8;9,45;11,5;4.25;0;56.1;19.7;4.4;13.7;0;0;Oktober 2020
Situbondo;4,79;5,8;9,333;10,425;0;0;4;17.9;1.6;0;0;0;Oktober 2020
Probolinggo;4,6;5,539;9,029;10,225;7.4;1.75;6.8;1.7;1.05;3.7;0;0;Oktober 2020
Pasuruan;4,7;5,455;9,4;9,8;0.5;10.25;1.25;1.24;1.7;0;0;0;Oktober 2020
Sidoarjo;4,742;5,242;9;11;2.3;0;40.25;18.01;0;0;0;0;Oktober 2020
Mojokerto;4,736;5,636;9,095;0;4.8;0;3.21;10.53;0.88;1.2;0;0;Oktober 2020
Jombang;4,625;5,581;8,569;10,708;21.5;0;0.28;4;0;0;0;0;Oktober 2020
Nganjuk;4,875;5,509;8,961;10,489;2.41;0;3.31;2.15;0;0;0;0;Oktober 2020
Madiun;4,88;5,38;8,8;9,5;27.7;12.8;1;89.56;0;7.98;0;0;Oktober 2020
Magetan;0;5,6;8,5;0;31;0.55;0;0;0;1.1;35.86;0;Oktober 2020
Ngawi;4,75;5,2;8,8;9,5;35.27;23.52;0;17.25;0;0;0.25;0;Oktober 2020
Bojonegoro;5;5,8;9;10;327;1.7;43.7;3;0;0.5;1.5;0;Oktober 2020
Tuban;4,879;5,757;8,85;10,5;39;102.7;6.5;0;0;5.5;0;0;Oktober 2020
Lamongan;4,715;5,549;8,518;9,94;8.9;1.5;13.5;2.2;0;0.3;0;0;Oktober 2020
Gresik;5,102;5,803;9,375;10,15;4.7;0;22.1;2.1;0;6.1;0;0;Oktober 2020
Bangkalan;4,5;5,5;10,75;10,75;3;0;6;0;0;0;0;0;Oktober 2020
Sampang;0;0;0;0;0;0;0;0;0;0;0;0;Oktober 2020
Pamekasan;0;5,5;10,5;10,5;0;0;0;0;0;0;0;0;Oktober 2020
Sumenep;0;0;0;0;0;0;0;8.9;0;0;0;0;Oktober 2020
Kota Kediri;0;0;0;0;0.14;0;0;0.4;0;0;0;0;Oktober 2020
Kota Blitar;0;0;0;0;0;0;0;0;0;0;0;0;Oktober 2020
Kota Malang;4,9;5,65;10,8;10,8;0;0;3.9;2.5;0;0;0;0;Oktober 2020
Kota Probolinggo;0;0;0;0;0;0;3.8;2.7;0;0.9;0;0;Oktober 2020
Kota Pasuruan;0;0;0;0;0;0;0;0;0;0;0;0;Oktober 2020
Kota Mojokerto;0;0;0;0;0;0;0;0;0;0;0;0;Oktober 2020
Kota Madiun;0;0;0;0;0;0;0;0;0;0;0;0;Oktober 2020
Kota Surabaya;0;0;0;0;0;0;4.4;3.5;0;0.1;0;0;Oktober 2020
Kota Batu;0;0;0;0;0;0;0;0;0;0;0;0;Oktober 2020
Pacitan;4,45;5,5;8,5;11;0;0;0;0.2;0;2;0;3;Nov-20
Ponorogo;4,6;5,331;8,5;10,5;0.56;0;2.5;0.28;0;1;0;0;Nov-20
Trenggalek;4,513;5,325;8,2;8,7;0.25;0;0.18;8.4;0;3.31;0;0;Nov-20
Tulungagung;4,489;5,407;8,615;9,589;12.02;0;9.34;0.6;0;0.9;0;9;Nov-20
Blitar;4,594;5,633;8,54;9,388;7.74;0;0.92;0;0;0.14;0;0;Nov-20
Kediri;4,998;5,75;9,121;10,75;1.63;0;6.46;4.6;0;0;0;190.8;Nov-20
Malang;4,975;5,8;9,563;10,525;5.2;0;23.5;27.15;0;9.35;0;0;Nov-20
Lumajang;4,68;5,68;9,316;10,979;5.05;6;80.95;25.8;0;2.1;0;265;Nov-20
Jember;4,668;5,59;9,205;10,51;3.6;0.6;12;16.2;0;18.15;0;119;Nov-20
Banyuwangi;4,594;5,509;9,184;9,55;1.15;4;18.15;3.5;11;1.75;0;0;Nov-20
Bondowoso;4,558;5,558;9,442;11,45;2.3;1.5;61.35;8.75;6.75;19.25;0;0;Nov-20
Situbondo;4,727;5,735;9,23;10,23;0;0;11.7;4.1;0.7;0;0;0;Nov-20
Probolinggo;4,668;5,58;9,343;10,454;6.35;0;11.9;6;0;1.4;0;0;Nov-20
Pasuruan;4,7;5,184;9,408;9,8;0.55;0.15;12.29;1.55;3;0.55;0;53;Nov-20
Sidoarjo;4,6;5,05;9;10,9;17.8;0.2;11.5;5.3;0;0;0;49.5;Nov-20
Mojokerto;4,692;5,595;9,028;10,022;32.36;0.5;3.8;7.29;0;0;0;64;Nov-20
Jombang;4,606;5,6;8,773;10,531;3.1;0;0.21;3;0;0;0;30;Nov-20
Nganjuk;4,34;5,433;8,5;10,5;2.78;0;1.18;0.25;0;0;0;1105.34;Nov-20
Madiun;4,649;5,21;8,8;9,5;0.5;4.65;0;6.53;0;3.8;0;38.5;Nov-20
Magetan;4,3;5,475;8,775;0;0;0;0;0.9;0;1.55;0;0;Nov-20
Ngawi;4,7;5,2;8,8;9,5;10.5;15.39;0.5;4;0;1;0;220;Nov-20
Bojonegoro;4,929;5,717;9;10;478.2;1.7;97;10;0;0;0;2261;Nov-20
Tuban;4,709;5,671;8,85;10,5;39.3;0.6;14;2.2;0;4;0;317;Nov-20
Lamongan;4,581;5,666;8,625;9,731;43.9;0;8.7;0;0;0;0;1541.6;Nov-20
Gresik;4,988;5,75;9,4;10,2;9.3;0;5.1;1.2;0;1.1;0;2120.9;Nov-20
Bangkalan;4,5;5,5;8,963;10,75;0;0;0;2;0;1;0;89.5;Nov-20
Sampang;0;0;8,85;0;0;0;0;0.2;0;0;0;441;Nov-20
Pamekasan;0;5,5;9;10,5;0;0;0;0;0;0;0;28.63;Nov-20
Sumenep;0;0;8,65;0;0;0;0;4.8;0;0;0;1.25;Nov-20
Kota Kediri;0;0;0;0;0;0;0;0.14;0;0;0;0;Nov-20
Kota Blitar;0;0;0;0;0;0;0;0;0;0;0;0;Nov-20
Kota Malang;4,9;5,74;9,793;11,1;0;0;2.3;2.6;0;0;0;0;Nov-20
Kota Probolinggo;0;0;0;0;2.5;0;4.45;3.1;0;0.6;0;0;Nov-20
Kota Pasuruan;0;0;0;0;0;0;0;0;0;0;0;0;Nov-20
Kota Mojokerto;0;0;0;0;0;0;0;0;0;0;0;0;Nov-20
Kota Madiun;0;0;0;0;0;0;0;0;0;0;0;0;Nov-20
Kota Surabaya;0;0;0;0;0;0;1;0.5;0;0;0;0;Nov-20
Kota Batu;0;0;0;0;0;0;0;2;0;0;0;0;Nov-20
Pacitan;4,367;5,5;8,5;10,958;10;1;0;0.2;0;9.25;0;0;Desember 2020
Ponorogo;4,681;5,294;8,7;10,5;0;0;0;0;0;0;0;0;Desember 2020
Trenggalek;4,4;5,281;8,3;8,769;1.75;15.7;0.43;6.55;0;0;0;5.15;Desember 2020
Tulungagung;4,472;5,401;8,587;9,462;46.88;0.7;7.1;0.7;0;1.6;0;20;Desember 2020
Blitar;4,504;5,492;8,35;9,28;5.32;0;3.24;0;0;0;0;0;Desember 2020
Kediri;4,85;5,75;9,023;10,75;8.52;0;8.5;3.32;0;0.62;0;0;Desember 2020
Malang;4,9;5,8;9,55;10,494;5.35;0.3;25.85;9.35;0;4.7;0;0;Desember 2020
Lumajang;4,55;5,548;9,388;10,878;8.05;0;88.05;21.5;0;12.25;0;0;Desember 2020
Jember;4,49;5,49;9,3;10,74;0.6;5.65;18.05;6.3;2.2;10.55;0;0;Desember 2020
Banyuwangi;4,616;5,5;9,2;10;1.5;5.25;29.75;4.25;0.8;1.75;0;0;Desember 2020
Bondowoso;4,569;5,575;9,525;11,25;0;0.65;46.25;1.4;1.05;10.2;0;0;Desember 2020
Situbondo;4,63;5,7;9,56;10,434;0;0.6;21;15.1;0.7;0.7;0;0;Desember 2020
Probolinggo;4,6;5,588;9,268;10,343;2.5;0;14.55;1.8;0.5;2.1;0;0;Desember 2020
Pasuruan;4,525;5,488;9,4;9,85;3.04;1.25;6.8;1.2;3.4;0;0;158;Desember 2020
Sidoarjo;4,164;4,618;9;10,8;350.55;0.2;5.5;1.1;0;0;0;23;Desember 2020
Mojokerto;4,6;5,468;9;10;22.88;0.5;2.94;4.12;0;0;0;18.14;Desember 2020
Jombang;4,467;5,45;8,733;10,5;24.08;0;2.5;0;0;0;0;0;Desember 2020
Nganjuk;4,163;5,7;8,8;10,5;6.85;0.14;1;1;0;0;0;0;Desember 2020
Madiun;4,92;5,407;8,78;9,458;59.5;0;15.25;0.21;0;0;0;0;Desember 2020
Magetan;0;5,45;9,1;0;40.82;0;0;0;0;0;0;0;Desember 2020
Ngawi;4,675;5,3;8,8;9,5;81.67;4.25;9.25;3.5;0;0;0;103;Desember 2020
Bojonegoro;4,713;5,463;9;10;518.3;4;359.5;7;0;12.25;0;187.6;Desember 2020
Tuban;4,648;5,65;8,85;10,5;285.1;0;11.55;0;0;5.45;0;165;Desember 2020
Lamongan;4,513;5,532;8,65;9,9;248.1;0;9.6;0;0;6.1;0;0;Desember 2020
Gresik;5,184;5,805;9,23;10,14;61.15;0;1.6;0;0;0;0;0;Desember 2020
Bangkalan;4,5;5,5;9;10,75;47.8;0;11;4;0;2.6;0;0;Desember 2020
Sampang;0;5,517;8,933;0;23;0;0;0.2;0;45.3;0;0;Desember 2020
Pamekasan;0;5,5;9;10,5;9;0;0;0.1;0;5.5;0;0;Desember 2020
Sumenep;0;0;8,5;0;54;0;0;2.2;0;2.1;0;0;Desember 2020
Kota Kediri;0;0;0;0;0;0;0;0;0;0;0;0;Desember 2020
Kota Blitar;0;0;0;0;0;0;0;0;0;0;0;0;Desember 2020
Kota Malang;4,9;6,3;10,5;12;0;0;3.5;3;0;0;0;0;Desember 2020
Kota Probolinggo;0;0;0;0;0.5;0;2.7;1.15;0;0.4;0;0;Desember 2020
Kota Pasuruan;0;0;0;0;0;0;0;0;0;0;0;0;Desember 2020
Kota Mojokerto;0;0;0;0;0;0;0;0;0;0;0;0;Desember 2020
Kota Madiun;0;0;0;0;0;0;0;0;0;0;0;0;Desember 2020
Kota Surabaya;0;0;0;0;0.5;0;1.5;0.8;0;0;0;0;Desember 2020
Kota Batu;0;0;0;0;0;0;0;0;0;0;0;0;Desember 2020
Pacitan;4,64;5,505;8,5;11;10;20.5;0;21.5;0;38;0;0;Januari 2021
Ponorogo;4,92;5,415;8,718;10,5;0.63;0;31.5;3;0;3.32;0;188;Januari 2021
Trenggalek;4,275;5,225;8,269;8,644;15.09;0.71;9.5;6.9;0;2.2;0;2;Januari 2021
Tulungagung;4,4;5,415;8,545;9,455;63.62;9.4;12.75;14.81;0;1.9;0;0;Januari 2021
Blitar;4,523;5,566;8,544;9,426;47.6;0;4.88;1.89;0;0.56;0;0;Januari 2021
Kediri;4,539;5,583;8,728;10,75;22.19;3.67;3.09;8.79;0;1.45;0;570.5;Januari 2021
Malang;4,695;5,62;9,369;10,363;4.9;0;20.55;22.2;0;3.05;0;0;Januari 2021
Lumajang;4,465;5,46;9,269;10,988;36.85;22.1;60.3;61.64;0;16.25;0;356.9;Januari 2021
Jember;4,474;5,459;9,31;10,78;7.5;3.4;9.6;10.8;0.8;8.9;0;865.5;Januari 2021
Banyuwangi;4,63;5,555;9,28;10;2;5.5;24;10;9;0;0;0.5;Januari 2021
Bondowoso;4,6;5,54;9,494;11,092;0;0.6;29.9;19;3.4;4.6;0;0;Januari 2021
Situbondo;4,61;5,605;9,585;10,5;0.6;0;61.4;35.4;30.6;0.8;0;0;Januari 2021
Probolinggo;4,622;5,546;9,163;10,378;3.8;0;17.1;6.5;0.2;3;0;0;Januari 2021
Pasuruan;4,5;5,5;9,4;9,9;0.45;11.5;4.99;3.15;7.39;0.5;0;5;Januari 2021
Sidoarjo;4,446;5,456;9;10,8;396.7;2.1;0;6.2;0;0;0;84;Januari 2021
Mojokerto;4,475;5,54;9,048;10,173;24.91;0.5;1.8;13.58;0.1;1.89;0;127.1;Januari 2021
Jombang;4,743;5,48;8,713;10,44;69.5;0;1.7;4;0;0;0;570;Januari 2021
Nganjuk;4,529;5,688;8,775;10,5;57.19;0.7;0;11;0;5.4;0;420.5;Januari 2021
Madiun;4,995;5,505;8,655;9,5;63.44;0.5;19.85;48.94;0;0;0;0;Januari 2021
Magetan;4;5,455;9,29;12;0.7;0.46;0;9.83;0;1.28;0;0;Januari 2021
Ngawi;;;;;46.91;13.24;4.7;5.85;0;0.2;0;0;Januari 2021
Bojonegoro;4,625;5,594;8,75;10;88.25;260;562.5;33.5;0;114.25;0;471;Januari 2021
Tuban;4,75;5,633;8,828;10,588;166.25;296.15;24.1;47;0;7.8;0;1144;Januari 2021
Lamongan;4,619;5,588;8,75;10;511.7;55;35.9;309.9;0;4.5;0;2082.8;Januari 2021
Gresik;4,956;5,7;9,385;10,4;104.7;1;3.6;14.95;0;1.05;0;245;Januari 2021
Bangkalan;4,231;5,5;9;10,75;74.8;0;55.5;116;0;19.8;0;0;Januari 2021
Sampang;;;8,848;;16.8;0;2;51.2;0;121.9;0;5;Januari 2021
Pamekasan;;5,5;9;10,5;83.5;10.3;0;81.1;0;46;0;0;Januari 2021
Sumenep;;;8,53;;192;2;0;44.5;0;58.3;0;174;Januari 2021
Kota Kediri;;;;;3.2;0;0;0;0;0.49;0;0;Januari 2021
Kota Blitar;;;;;3.94;0;0;0;0;0.7;0;0;Januari 2021
Kota Malang;;;;;0;0;4;6.5;0;0;0;0;Januari 2021
Kota Probolinggo;;;;;0;0;5;4.3;0;0;0;0;Januari 2021
Kota Pasuruan;;;;;0;0;0;0;0;0;0;64;Januari 2021
Kota Mojokerto;;;;;0;0;0;0;0;0;0;0;Januari 2021
Kota Madiun;;;;;0;0;0;0;0;0;0;0;Januari 2021
Kota Surabaya;;;;;2;0;3.2;7.6;0;0;0;1;Januari 2021
Kota Batu;;;;;0;0;0;2.5;0;0;0;0;Januari 2021
Pacitan;4,515;5,495;8,5;11;10;23.5;0;5.2;0;23;0;0;Februari 2021
Ponorogo;4,66;5,175;8,505;10,5;8.32;43.52;0;39.44;0;52.45;0;71;Februari 2021
Trenggalek;4,331;5,181;8,15;8,55;7.54;1.62;0.3;12.63;0;4.4;0;15;Februari 2021
Tulungagung;4,374;5,349;8,495;9,429;27.1;0.21;7.77;17.63;0;2.58;0;854;Februari 2021
Blitar;4,531;5,554;8,635;9,485;21.77;0.5;2.84;7.08;0;0;0;0;Februari 2021
Kediri;4,375;5,569;8,5;10,5;59.33;17.97;3.37;27.15;0;1.78;0;12.8;Februari 2021
Malang;4,6;5,5;9,2;10,3;27.15;5;15.3;54.6;0;1.2;1;4;Februari 2021
Lumajang;4,498;5,498;9,2;11;15.9;9.3;70.3;48.4;0;0.6;0;73;Februari 2021
Jember;4,521;5,506;8,86;10,425;28.45;11.45;5.45;86.6;0.7;20.7;0;363.6;Februari 2021
Banyuwangi;4,633;5,538;9,375;10;10;51.5;18;41.25;8;4.25;0;0;Februari 2021
Bondowoso;4,467;5,467;9,333;10,958;0;8.5;28.25;48.45;1;8.95;0;0;Februari 2021
Situbondo;4,61;5,56;9,525;10,485;0;34.45;47;84.8;3.4;0;0;0;Februari 2021
Probolinggo;4,445;5,425;8,965;10,375;6.1;5.8;14.1;17.25;1.7;3;0;0;Februari 2021
Pasuruan;4,413;5,338;9,263;9,825;5;12.2;3.5;9.15;3.7;1.3;0;73.5;Februari 2021
Sidoarjo;4,292;5,479;9;10,5;206.85;0;0;60.9;0;0;0;8;Februari 2021
Mojokerto;4,47;5,374;9,256;10,458;28.93;2.57;3.5;159.04;0;1.12;0;20.17;Februari 2021
Jombang;4,675;5,542;8,575;10,5;44.34;13.16;0.84;33.58;0;0.28;6;45.1;Februari 2021
Nganjuk;4,4;5,5;8,725;10,5;28.93;46.96;0;27.16;0;5.4;0;350;Februari 2021
Madiun;4,913;5,463;8,65;9,5;12.25;26.6;0.5;48.4;0;2.7;0;21;Februari 2021
Magetan;4,565;5,25;9,125;10,5;90.6;15.76;0.2;1.27;0;1.88;0;0;Februari 2021
Ngawi;4,163;5,167;8,4;10,344;21.43;38.03;0.2;1.29;0;0.75;0;0;Februari 2021
Bojonegoro;4,3;5,517;8,583;9,883;54.5;364.1;222;187.55;0;56;0;282;Februari 2021
Tuban;4,526;5,571;8,731;10,46;110.22;140.8;36.1;93.1;0;1.49;0;0;Februari 2021
Lamongan;4,501;5,553;8,735;10;176.3;30.85;34.2;496.3;0;3.25;0;0;Februari 2021
Gresik;4,725;5,713;9,425;10,131;4.6;4.85;15.2;26.3;0;1.85;0;1;Februari 2021
Bangkalan;4,233;5,5;9;10,75;33.8;0;67.8;89;0;22.3;0;0;Februari 2021
Sampang;4,367;5,404;8,446;10,588;0;0;0;39.8;0;52.1;0;0;Februari 2021
Pamekasan;4;5,428;10,038;11,73;10.7;0;0;168.2;0;50.1;0;0;Februari 2021
Sumenep;;;8,6;;18.8;0;0;254.7;0;225;0;0;Februari 2021
Kota Kediri;;;;;0.98;0;0;0;0;0.15;0;0;Februari 2021
Kota Blitar;;;;;5.32;0;0;0;0;0.56;0;0;Februari 2021
Kota Malang;;;;;0.5;0;2.5;4.5;0;0;0;0;Februari 2021
Kota Probolinggo;;;;;0;2.4;4.75;6.25;0;0;0;0;Februari 2021
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Februari 2021
Kota Mojokerto;;;;;0;0.14;0;1.21;0;0;0;0;Februari 2021
Kota Madiun;;;;;0;0;0;0;0;0;0;0;Februari 2021
Kota Surabaya;;;;;4;0.3;3.5;5.5;0;0;0;0;Februari 2021
Kota Batu;;;;;1;0;0;1;0;0;0;0;Februari 2021
Pacitan;4,2;5,344;8,5;11;0;15;0;5.1;0;20;0;0;Maret 2021
Ponorogo;4,054;5,054;8,375;10,188;1.19;37.92;2;5.92;0;26.39;0;0;Maret 2021
Trenggalek;4,126;5,181;8;8,355;10.05;4.39;1.24;8.99;0;7.59;0;0;Maret 2021
Tulungagung;4,164;5,284;8,408;9,366;9.08;0.63;14.85;14.49;0;3.9;0;0;Maret 2021
Blitar;4,192;5,376;8,343;9,228;17.01;6.04;2.18;7.74;0;1.12;0;0;Maret 2021
Kediri;3,895;5,069;8,406;10,5;59.23;23.42;0.49;21.74;0;8.72;0;0;Maret 2021
Malang;4,55;5,45;9;10,061;22;8.3;24.5;55.65;0;2.95;0;0;Maret 2021
Lumajang;4,3;5,3;9,12;11;1.9;13.3;67.1;67.8;0;1.3;0;0;Maret 2021
Jember;4,086;5,279;8,91;10,311;5.75;22;3.6;61.6;0.5;11.45;0;0;Maret 2021
Banyuwangi;4,142;5,28;8,948;9,988;2;20.85;11;29.15;0.25;1;0;0;Maret 2021
Bondowoso;4,163;5,431;9,279;10,465;0;0;21.85;60.9;8.6;21.65;0;0;Maret 2021
Situbondo;4,175;5,445;9,06;10,06;0;14.46;31.2;87.25;3.65;1.8;0;0;Maret 2021
Probolinggo;4,073;5,386;8,991;10,183;7.6;2.95;16.65;33.25;13.2;8.6;0;0;Maret 2021
Pasuruan;4,125;5,492;9,198;9,65;9.1;2.25;7;10.4;29.4;1.75;0;0;Maret 2021
Sidoarjo;3,998;5,201;8,85;9,75;51.7;0;19;30.15;0;0;0;0;Maret 2021
Mojokerto;4,151;5,353;9,078;10,305;16.38;0;4.37;30.84;0;0.83;0;56;Maret 2021
Jombang;4,138;5,444;8,569;10,5;6.6;16.58;0.2;10.48;0;0.2;0;25.14;Maret 2021
Nganjuk;3,973;5,225;8,738;10,5;2;26.41;0.4;5.84;0;0;0;0;Maret 2021
Madiun;4,105;5,316;8,528;9,5;0;11.93;3.37;27.37;0;7.08;0;0;Maret 2021
Magetan;4,018;5,045;8,325;9,225;0;6.35;0;2.7;0;0.5;0;0;Maret 2021
Ngawi;4,072;5,453;8,75;10,288;2.46;26.7;1.5;4.3;0;0.75;0;0;Maret 2021
Bojonegoro;3,938;5,363;8,5;9,75;6.5;182;237;72.75;0;64;0;0;Maret 2021
Tuban;3,903;5,313;8,458;10,565;97;8.5;17.9;71.4;0;4.6;0;0;Maret 2021
Lamongan;4,045;5,446;8,528;9,838;37.92;30.5;7.87;22.5;0;1.3;0;0;Maret 2021
Gresik;3,975;5,486;8,854;9,62;9;0.5;9.55;16.17;0;1.7;0;278;Maret 2021
Bangkalan;4;5,213;8,35;10,75;12;0;33;128;0;30;0;0;Maret 2021
Sampang;3,838;5,054;7,759;9,759;0;0;0;22;0;19.6;0;0;Maret 2021
Pamekasan;4;5,168;7,961;9,365;0;0;0;56;0;12;0;0;Maret 2021
Sumenep;;;8,429;;19;0;115.6;88.2;0;84;0;0;Maret 2021
Kota Kediri;;;;;0.95;0;0;0;0;0.14;0;0;Maret 2021
Kota Blitar;;;;;1.54;0;0;0;0;1.12;0;0;Maret 2021
Kota Malang;;;;;0;0;2.5;8;0;0;0;0;Maret 2021
Kota Probolinggo;;;;;0;0.9;6.85;8.65;0;0.8;0;0;Maret 2021
Kota Pasuruan;;;;;0;0;0;0;0;0;0;0;Maret 2021
Kota Mojokerto;;;;;0;0;2.45;1.65;0;0.6;0;0;Maret 2021
Kota Madiun;;;;;0;0;0;0;0;0;0;0;Maret 2021
Kota Surabaya;;;;;3;0;3.9;8.95;0;0;0;0;Maret 2021
Kota Batu;;;;;1.5;0;0;3.5;0;0;0;0;Maret 2021
Pacitan;4,025;5,04;8,5;11;0;0.5;0;3;0;7;0;0;Apr-21
Ponorogo;4,215;5,113;8,465;10;0;0;2.56;1.76;0;0.56;0;0;Apr-21
Trenggalek;3,713;4,65;7,733;8,2;10.28;1.16;2.46;7.47;0;2.01;0;0;Apr-21
Tulungagung;3,929;4,993;8,382;9,281;11.34;0.5;35.3;16.59;0;3.7;0;0;Apr-21
Blitar;4,138;5,24;8,458;9,343;8.51;0.12;3.09;3.8;0;0.14;0;0;Apr-21
Kediri;3,708;4,704;8,009;10,25;10.25;0;5.62;12.92;0;2.8;0;0;Apr-21
Malang;4,6;5,55;9,25;10,1;15.7;0.25;17.7;45.8;0;3;0;0;Apr-21
Lumajang;;;;;4;6.6;43.15;57.1;1.25;3.86;0;0;Apr-21
Jember;4,005;4,965;8,6;10,375;0.6;6.5;11.2;22.85;1;6.4;0;0;Apr-21
Banyuwangi;4,154;5,079;8,87;9,965;0.75;3.25;19.5;15.3;0;1.85;0;0;Apr-21
Bondowoso;3,967;5;9,367;10,267;0;0;23.6;51.35;5.35;7.95;2;0;Apr-21
Situbondo;4,102;5,281;9,002;10,002;0;0.8;20.3;13.4;6.2;0.6;0;0;Apr-21
Probolinggo;4,04;5,06;8,94;10,135;1.95;1;20.3;8.5;8.6;17.1;0;0;Apr-21
Pasuruan;3,976;4,781;9;9,5;2.75;0.5;8.94;13.55;0.7;0.4;0;0;Apr-21
